Threshold,Morph_Kernel,Close_Iter,Open_Iter,Avg_Loss,Success_Rate,Successful,Good_Detections,Good_Rate
20,3,1,1,600,0,0,0,0
20,3,1,2,600,0,0,0,0
20,3,1,3,600,0,0,0,0
20,3,1,4,600,0,0,0,0
20,3,2,1,600,0,0,0,0
20,3,2,2,600,0,0,0,0
20,3,2,3,600,0,0,0,0
20,3,2,4,600,0,0,0,0
20,3,3,1,21.492313,0.0175,7,2,0.005
20,3,3,2,600,0,0,0,0
20,3,3,3,600,0,0,0,0
20,3,3,4,600,0,0,0,0
20,3,4,1,24.545837,0.0475,19,14,0.035
20,3,4,2,600,0,0,0,0
20,3,4,3,600,0,0,0,0
20,3,4,4,600,0,0,0,0
20,5,1,1,600,0,0,0,0
20,5,1,2,600,0,0,0,0
20,5,1,3,600,0,0,0,0
20,5,1,4,600,0,0,0,0
20,5,2,1,600,0,0,0,0
20,5,2,2,600,0,0,0,0
20,5,2,3,600,0,0,0,0
20,5,2,4,600,0,0,0,0
20,5,3,1,600,0,0,0,0
20,5,3,2,600,0,0,0,0
20,5,3,3,600,0,0,0,0
20,5,3,4,600,0,0,0,0
20,5,4,1,47.569626,0.0125,5,3,0.0075
20,5,4,2,142.31924,0.0025,1,0,0
20,5,4,3,600,0,0,0,0
20,5,4,4,600,0,0,0,0
20,7,1,1,600,0,0,0,0
20,7,1,2,600,0,0,0,0
20,7,1,3,600,0,0,0,0
20,7,1,4,600,0,0,0,0
20,7,2,1,600,0,0,0,0
20,7,2,2,600,0,0,0,0
20,7,2,3,600,0,0,0,0
20,7,2,4,600,0,0,0,0
20,7,3,1,600,0,0,0,0
20,7,3,2,600,0,0,0,0
20,7,3,3,600,0,0,0,0
20,7,3,4,600,0,0,0,0
20,7,4,1,142.08759,0.0075,3,0,0
20,7,4,2,187.90115,0.0025,1,0,0
20,7,4,3,188.85046,0.0025,1,0,0
20,7,4,4,188.85046,0.0025,1,0,0
20,9,1,1,600,0,0,0,0
20,9,1,2,600,0,0,0,0
20,9,1,3,600,0,0,0,0
20,9,1,4,600,0,0,0,0
20,9,2,1,600,0,0,0,0
20,9,2,2,600,0,0,0,0
20,9,2,3,600,0,0,0,0
20,9,2,4,600,0,0,0,0
20,9,3,1,148.87498,0.0025,1,0,0
20,9,3,2,189.14322,0.0025,1,0,0
20,9,3,3,189.14322,0.0025,1,0,0
20,9,3,4,600,0,0,0,0
20,9,4,1,146.82153,0.0075,3,0,0
20,9,4,2,186.57487,0.0025,1,0,0
20,9,4,3,186.57487,0.0025,1,0,0
20,9,4,4,192.20685,0.0025,1,0,0
25,3,1,1,19.77864,0.95,380,355,0.8875
25,3,1,2,17.947763,0.95,380,359,0.8975
25,3,1,3,16.861387,0.94,376,358,0.895
25,3,1,4,16.720362,0.8525,341,327,0.8175
25,3,2,1,34.784275,0.9525,381,342,0.855
25,3,2,2,31.535574,0.9525,381,343,0.8575
25,3,2,3,28.263844,0.9425,377,341,0.8525
25,3,2,4,27.658436,0.8525,341,309,0.7725
25,3,3,1,38.944427,0.9525,381,340,0.85
25,3,3,2,38.711567,0.9525,381,340,0.85
25,3,3,3,33.678284,0.9425,377,338,0.845
25,3,3,4,40.395245,0.865,346,304,0.76
25,3,4,1,39.96921,0.9525,381,338,0.845
25,3,4,2,39.900024,0.9525,381,338,0.845
25,3,4,3,40.428593,0.9425,377,334,0.835
25,3,4,4,43.088066,0.865,346,303,0.7575
25,5,1,1,25.585135,0.9475,379,347,0.8675
25,5,1,2,27.159267,0.8125,325,295,0.7375
25,5,1,3,26.353292,0.525,210,189,0.4725
25,5,1,4,38.785774,0.22,88,70,0.175
25,5,2,1,34.881744,0.95,380,340,0.85
25,5,2,2,43.17097,0.8275,331,288,0.72
25,5,2,3,72.46896,0.565,226,178,0.445
25,5,2,4,141.59196,0.2975,119,71,0.1775
25,5,3,1,40.543987,0.95,380,337,0.8425
25,5,3,2,44.98672,0.8275,331,288,0.72
25,5,3,3,74.72187,0.57,228,178,0.445
25,5,3,4,131.82123,0.31,124,71,0.1775
25,5,4,1,54.811825,0.95,380,332,0.83
25,5,4,2,50.613205,0.83,332,286,0.715
25,5,4,3,72.43509,0.5725,229,179,0.4475
25,5,4,4,127.64749,0.335,134,72,0.18
25,7,1,1,23.02969,0.87,348,321,0.8025
25,7,1,2,31.324802,0.465,186,163,0.4075
25,7,1,3,80.92947,0.095,38,23,0.0575
25,7,1,4,167.34285,0.0075,3,0,0
25,7,2,1,37.247036,0.875,350,310,0.775
25,7,2,2,82.17235,0.5075,203,155,0.3875
25,7,2,3,261.65216,0.1875,75,24,0.06
25,7,2,4,459.96365,0.12,48,0,0
25,7,3,1,40.129505,0.875,350,309,0.7725
25,7,3,2,83.75043,0.5175,207,154,0.385
25,7,3,3,223.82208,0.21,84,28,0.07
25,7,3,4,397.69785,0.135,54,0,0
25,7,4,1,44.216934,0.875,350,306,0.765
25,7,4,2,83.595566,0.5225,209,156,0.39
25,7,4,3,215.46504,0.225,90,30,0.075
25,7,4,4,364.09045,0.145,58,0,0
25,9,1,1,26.23832,0.705,282,255,0.6375
25,9,1,2,71.817795,0.1575,63,42,0.105
25,9,1,3,176.02643,0.0075,3,0,0
25,9,1,4,600,0,0,0,0
25,9,2,1,49.36935,0.73,292,250,0.625
25,9,2,2,190.97714,0.235,94,42,0.105
25,9,2,3,464.37067,0.115,46,0,0
25,9,2,4,507.92294,0.105,42,0,0
25,9,3,1,51.57398,0.73,292,248,0.62
25,9,3,2,180.71861,0.26,104,44,0.11
25,9,3,3,396.31973,0.14,56,0,0
25,9,3,4,438.1821,0.135,54,0,0
25,9,4,1,53.09903,0.7375,295,248,0.62
25,9,4,2,174.7043,0.2775,111,45,0.1125
25,9,4,3,363.44583,0.1475,59,0,0
25,9,4,4,381.4758,0.1425,57,0,0
30,3,1,1,55.782207,0.9525,381,331,0.8275
30,3,1,2,54.27695,0.9525,381,333,0.8325
30,3,1,3,53.967064,0.9525,381,334,0.835
30,3,1,4,43.72078,0.885,354,311,0.7775
30,3,2,1,57.68786,0.9525,381,331,0.8275
30,3,2,2,57.635437,0.9525,381,331,0.8275
30,3,2,3,57.562622,0.9525,381,331,0.8275
30,3,2,4,60.247284,0.885,354,304,0.76
30,3,3,1,57.710903,0.9525,381,330,0.825
30,3,3,2,57.635437,0.9525,381,331,0.8275
30,3,3,3,57.56262,0.9525,381,331,0.8275
30,3,3,4,61.278095,0.885,354,304,0.76
30,3,4,1,57.69816,0.9525,381,331,0.8275
30,3,4,2,57.651863,0.9525,381,330,0.825
30,3,4,3,57.56262,0.9525,381,331,0.8275
30,3,4,4,61.2781,0.885,354,304,0.76
30,5,1,1,56.531044,0.9525,381,331,0.8275
30,5,1,2,61.95332,0.855,342,293,0.7325
30,5,1,3,81.460884,0.6175,247,198,0.495
30,5,1,4,143.39804,0.335,134,84,0.21
30,5,2,1,58.003567,0.9525,381,330,0.825
30,5,2,2,63.50205,0.855,342,292,0.73
30,5,2,3,83.26617,0.625,250,199,0.4975
30,5,2,4,140.0598,0.3475,139,88,0.22
30,5,3,1,58.179237,0.9525,381,330,0.825
30,5,3,2,63.60929,0.855,342,291,0.7275
30,5,3,3,82.98156,0.63,252,199,0.4975
30,5,3,4,134.0001,0.3675,147,91,0.2275
30,5,4,1,58.19202,0.9525,381,330,0.825
30,5,4,2,63.71259,0.855,342,291,0.7275
30,5,4,3,82.51978,0.6325,253,201,0.5025
30,5,4,4,130.32408,0.3875,155,93,0.2325
30,7,1,1,59.47207,0.9,360,310,0.775
30,7,1,2,87.96076,0.5525,221,172,0.43
30,7,1,3,207.85965,0.215,86,36,0.09
30,7,1,4,400.30087,0.1275,51,1,0.0025
30,7,2,1,61.295784,0.9,360,309,0.7725
30,7,2,2,91.08528,0.5675,227,175,0.4375
30,7,2,3,207.57196,0.235,94,37,0.0925
30,7,2,4,337.7532,0.14,56,2,0.005
30,7,3,1,61.383404,0.9,360,309,0.7725
30,7,3,2,89.560295,0.58,232,178,0.445
30,7,3,3,197.44391,0.255,102,38,0.095
30,7,3,4,314.3396,0.1575,63,2,0.005
30,7,4,1,61.480343,0.9,360,309,0.7725
30,7,4,2,88.82143,0.5875,235,180,0.45
30,7,4,3,185.30495,0.28,112,42,0.105
30,7,4,4,302.89813,0.1725,69,2,0.005
30,9,1,1,66.85523,0.7875,315,265,0.6625
30,9,1,2,169.9783,0.27,108,57,0.1425
30,9,1,3,340.00415,0.1275,51,0,0
30,9,1,4,345.78125,0.125,50,0,0
30,9,2,1,67.763054,0.7875,315,265,0.6625
30,9,2,2,162.57236,0.3025,121,60,0.15
30,9,2,3,324.78378,0.145,58,0,0
30,9,2,4,330.92056,0.1375,55,0,0
30,9,3,1,69.01039,0.79,316,264,0.66
30,9,3,2,155.55489,0.33,132,62,0.155
30,9,3,3,315.93365,0.1625,65,0,0
30,9,3,4,323.19714,0.15,60,0,0
30,9,4,1,68.84456,0.795,318,265,0.6625
30,9,4,2,151.85118,0.3525,141,63,0.1575
30,9,4,3,291.79605,0.1925,77,0,0
30,9,4,4,305.12323,0.1725,69,0,0
35,3,1,1,57.64402,0.955,382,331,0.8275
35,3,1,2,57.476746,0.955,382,331,0.8275
35,3,1,3,57.312935,0.955,382,332,0.83
35,3,1,4,60.579605,0.895,358,308,0.77
35,3,2,1,57.278564,0.9525,381,331,0.8275
