image,predicted,ground_truth,correct,detected,matched
c100bg1.png,"Ultros, Obnoxious Octopus","Ultros, Obnoxious Octopus",1,1,1
c100bg2.png,"Ultros, Obnoxious Octopus","Ultros, Obnoxious Octopus",1,1,1
c100bg3.png,"Ultros, Obnoxious Octopus","Ultros, Obnoxious Octopus",1,1,1
c100bg4.png,"Ultros, Obnoxious Octopus","Ultros, Obnoxious Octopus",1,1,1
c100bg5.png,"Ultros, Obnoxious Octopus","Ultros, Obnoxious Octopus",1,1,1
c100bg6.png,"Ultros, Obnoxious Octopus","Ultros, Obnoxious Octopus",1,1,1
c100bg7.png,"Ultros, Obnoxious Octopus","Ultros, Obnoxious Octopus",1,1,1
c100bg8.png,"Ultros, Obnoxious Octopus","Ultros, Obnoxious Octopus",1,1,1
c10bg1.png,Gorehorn Minotaurs,Gorehorn Minotaurs,1,1,1
c10bg2.png,Gorehorn Minotaurs,Gorehorn Minotaurs,1,1,1
c10bg3.png,Gorehorn Minotaurs,Gorehorn Minotaurs,1,1,1
c10bg4.png,Gorehorn Minotaurs,Gorehorn Minotaurs,1,1,1
c10bg5.png,Gorehorn Minotaurs,Gorehorn Minotaurs,1,1,1
c10bg6.png,Gorehorn Minotaurs,Gorehorn Minotaurs,1,1,1
c10bg7.png,Gorehorn Minotaurs,Gorehorn Minotaurs,1,1,1
c10bg8.png,Gorehorn Minotaurs,Gorehorn Minotaurs,1,1,1
c11bg1.png,No match,"Elenda, Saint of Dusk",0,0,0
c11bg2.png,No match,"Elenda, Saint of Dusk",0,0,0
c11bg3.png,No match,"Elenda, Saint of Dusk",0,0,0
c11bg4.png,District Mascot,"Elenda, Saint of Dusk",0,0,1
c11bg5.png,No match,"Elenda, Saint of Dusk",0,0,0
c11bg6.png,No match,"Elenda, Saint of Dusk",0,0,0
c11bg7.png,No match,"Elenda, Saint of Dusk",0,0,0
c11bg8.png,Arid Mesa,"Elenda, Saint of Dusk",0,0,1
c12bg1.png,Snuff Out,Snuff Out,1,1,1
c12bg2.png,Snuff Out,Snuff Out,1,1,1
c12bg3.png,Snuff Out,Snuff Out,1,1,1
c12bg4.png,Snuff Out,Snuff Out,1,1,1
c12bg5.png,Snuff Out,Snuff Out,1,1,1
c12bg6.png,Snuff Out,Snuff Out,1,1,1
c12bg7.png,Snuff Out,Snuff Out,1,1,1
c12bg8.png,Snuff Out,Snuff Out,1,0,1
c13bg1.png,Dismal Backwater,Dismal Backwater,1,1,1
c13bg2.png,Dismal Backwater,Dismal Backwater,1,1,1
c13bg3.png,Dismal Backwater,Dismal Backwater,1,1,1
c13bg4.png,Dismal Backwater,Dismal Backwater,1,1,1
c13bg5.png,Dismal Backwater,Dismal Backwater,1,1,1
c13bg6.png,Dismal Backwater,Dismal Backwater,1,1,1
c13bg7.png,Dismal Backwater,Dismal Backwater,1,1,1
c13bg8.png,Dismal Backwater,Dismal Backwater,1,1,1
c14bg1.png,Fear of Death,Fear of Death,1,1,1
c14bg2.png,Fear of Death,Fear of Death,1,1,1
c14bg3.png,Fear of Death,Fear of Death,1,1,1
c14bg4.png,Fear of Death,Fear of Death,1,1,1
c14bg5.png,Fear of Death,Fear of Death,1,1,1
c14bg6.png,Fear of Death,Fear of Death,1,1,1
c14bg7.png,Fear of Death,Fear of Death,1,1,1
c14bg8.png,Gastal Thrillroller,Fear of Death,0,0,1
c15bg1.png,Skullsnatcher,Skullsnatcher,1,1,1
c15bg2.png,Skullsnatcher,Skullsnatcher,1,1,1
c15bg3.png,Skullsnatcher,Skullsnatcher,1,1,1
c15bg4.png,Skullsnatcher,Skullsnatcher,1,1,1
c15bg5.png,Skullsnatcher,Skullsnatcher,1,1,1
c15bg6.png,Skullsnatcher,Skullsnatcher,1,1,1
c15bg7.png,Skullsnatcher,Skullsnatcher,1,1,1
c15bg8.png,The Bears of Littjara,Skullsnatcher,0,0,1
c16bg1.png,Ethercaste Knight,Spitting Earth,0,0,1
c16bg2.png,Ethercaste Knight,Spitting Earth,0,0,1
c16bg3.png,Ethercaste Knight,Spitting Earth,0,0,1
c16bg4.png,Ethercaste Knight,Spitting Earth,0,0,1
c16bg5.png,Spitting Earth,Spitting Earth,1,1,1
c16bg6.png,Spitting Earth,Spitting Earth,1,1,1
c16bg7.png,Ethercaste Knight,Spitting Earth,0,0,1
c16bg8.png,Spitting Earth,Spitting Earth,1,1,1
c17bg1.png,"Leela, Sevateem Warrior","Leela, Sevateem Warrior",1,1,1
c17bg2.png,"Leela, Sevateem Warrior","Leela, Sevateem Warrior",1,1,1
c17bg3.png,"Leela, Sevateem Warrior","Leela, Sevateem Warrior",1,1,1
c17bg4.png,"Leela, Sevateem Warrior","Leela, Sevateem Warrior",1,1,1
c17bg5.png,"Leela, Sevateem Warrior","Leela, Sevateem Warrior",1,1,1
c17bg6.png,"Leela, Sevateem Warrior","Leela, Sevateem Warrior",1,1,1
c17bg7.png,"Leela, Sevateem Warrior","Leela, Sevateem Warrior",1,1,1
c17bg8.png,"Leela, Sevateem Warrior","Leela, Sevateem Warrior",1,1,1
c18bg1.png,Malfegor,Malfegor,0,1,1
c18bg2.png,Malfegor,Malfegor,0,1,1
c18bg3.png,Malfegor,Malfegor,0,1,1
c18bg4.png,Malfegor,Malfegor,0,1,1
c18bg5.png,Malfegor,Malfegor,0,1,1
c18bg6.png,Malfegor,Malfegor,0,1,1
c18bg7.png,Malfegor,Malfegor,0,1,1
c18bg8.png,Malfegor,Malfegor,0,1,1
c19bg1.png,Groundbreaker,Groundbreaker,1,1,1
c19bg2.png,Groundbreaker,Groundbreaker,1,1,1
c19bg3.png,Groundbreaker,Groundbreaker,1,1,1
c19bg4.png,Groundbreaker,Groundbreaker,1,1,1
c19bg5.png,Groundbreaker,Groundbreaker,1,1,1
c19bg6.png,Groundbreaker,Groundbreaker,1,1,1
c19bg7.png,Groundbreaker,Groundbreaker,1,1,1
c19bg8.png,Groundbreaker,Groundbreaker,1,1,1
c1bg1.png,Unholy Strength,Unholy Strength,1,1,1
c1bg2.png,Unholy Strength,Unholy Strength,1,1,1
c1bg3.png,Unholy Strength,Unholy Strength,1,1,1
c1bg4.png,Unholy Strength,Unholy Strength,1,1,1
c1bg5.png,Unholy Strength,Unholy Strength,1,1,1
c1bg6.png,Unholy Strength,Unholy Strength,1,1,1
c1bg7.png,Unholy Strength,Unholy Strength,1,1,1
c1bg8.png,Unholy Strength,Unholy Strength,1,1,1
c20bg1.png,Urge to Feed,Urge to Feed,1,1,1
c20bg2.png,Urge to Feed,Urge to Feed,1,1,1
c20bg3.png,Urge to Feed,Urge to Feed,1,1,1
c20bg4.png,Urge to Feed,Urge to Feed,1,1,1
c20bg5.png,Urge to Feed,Urge to Feed,1,1,1
c20bg6.png,Urge to Feed,Urge to Feed,1,1,1
